95
49
2
00:f8:2c:19:9f:0e,-72
00:f8:2c:19:9f:0d,-72
00:f8:2c:19:9f:0c,-71
b0:6e:bf:3e:b2:18,-61
34:bd:c8:db:79:e3,-81
34:bd:c8:db:79:e1,-80
02:2e:ae:5e:3b:5d,-79
8e:53:c3:21:c2:52,-82
00:f8:2c:19:41:c0,-72
00:f8:2c:19:36:a0,-69
00:f8:2c:19:9f:03,-59
00:f8:2c:19:9f:02,-60
00:2a:10:52:de:f3,-78
00:77:8d:1d:23:4e,-84
00:2a:10:52:de:f1,-77
00:77:8d:1d:23:4f,-84
00:f8:2c:19:9f:01,-59
00:f8:2c:19:9f:00,-60
00:f8:2c:19:41:ce,-80
00:f8:2c:19:41:cd,-80
00:f8:2c:19:41:cc,-81
00:1d:0f:ea:66:e4,-81
00:f8:2c:19:2a:ee,-83
00:f8:2c:19:2a:ed,-83
70:4f:57:43:86:a8,-64
00:f8:2c:19:32:ee,-58
70:4f:57:43:86:a7,-87
00:f8:2c:19:32:ed,-60
00:f8:2c:19:36:ad,-77
00:f8:2c:19:36:ac,-77
00:f8:2c:19:36:ae,-73
b0:6e:bf:3b:e3:88,-76
34:f8:e7:bf:dd:af,-71
34:f8:e7:c0:b4:a0,-80
34:f8:e7:bf:dd:ae,-70
00:f8:2c:19:9e:ae,-76
00:f8:2c:19:9e:ad,-76
70:18:a7:11:e2:a0,-79
00:14:78:a6:a4:8c,-89
00:f8:2c:19:9e:ac,-75
00:f8:2c:19:9e:a3,-75
00:f8:2c:19:9e:a2,-75
00:f8:2c:19:9e:a1,-75
00:f8:2c:19:32:e3,-53
00:f8:2c:19:9e:a0,-75
00:f8:2c:19:32:e2,-52
00:f8:2c:19:32:e1,-53
00:f8:2c:19:32:e0,-54
00:2f:5c:69:28:af,-83
00:2f:5c:69:28:ae,-83
70:18:a7:11:e2:ae,-86
70:18:a7:11:e2:af,-85
78:54:2e:fd:a7:00,-87
1c:7e:e5:55:8f:43,-78
