155
84
2
54:8a:ba:dc:00:0f,-72
54:8a:ba:dc:00:0d,-73
54:8a:ba:dc:00:0c,-72
54:8a:ba:dc:00:0b,-72
54:8a:ba:dc:00:0a,-73
2a:56:5a:a6:d0:a0,-85
00:f8:2c:19:9d:02,-64
00:f8:2c:19:9d:03,-63
00:f8:2c:19:9d:00,-63
54:8a:ba:de:1e:2c,-83
00:f8:2c:19:9d:01,-64
54:8a:ba:de:1e:2e,-84
54:8a:ba:de:1e:2d,-83
54:8a:ba:dc:14:cd,-89
54:8a:ba:dc:14:cc,-88
54:8a:ba:dc:00:09,-71
48:7d:2e:25:e0:e1,-92
80:02:9c:1a:f3:23,-79
04:d4:c4:44:37:08,-80
4c:a6:4d:7d:c0:a9,-75
04:f1:69:03:0c:52,-84
00:f8:2c:19:9d:2d,-64
00:f8:2c:19:9d:2e,-64
d4:5d:64:6f:ac:98,-91
4c:a6:4d:7d:c0:af,-74
4c:a6:4d:7d:c0:aa,-75
70:d3:79:e9:fc:6c,-91
4c:a6:4d:7d:c0:ab,-75
4c:a6:4d:7d:c0:ac,-74
4c:a6:4d:7d:c0:ad,-76
ec:41:18:dd:7b:16,-68
ec:41:18:dd:7b:17,-93
70:d3:79:e9:fc:63,-70
70:d3:79:e9:fc:61,-70
54:8a:ba:dc:01:0f,-85
70:d3:79:e9:fc:62,-71
54:8a:ba:dc:01:0d,-86
54:8a:ba:dc:01:0c,-84
54:8a:ba:dc:01:0a,-85
00:f8:2c:19:9d:0d,-69
00:f8:2c:19:9d:0e,-70
54:8a:ba:dc:01:09,-87
0c:75:bd:d1:fb:42,-79
54:8a:ba:dc:01:06,-76
0c:75:bd:d1:fb:41,-80
54:8a:ba:dc:01:05,-75
54:8a:ba:dc:01:04,-75
70:d3:79:e9:fc:60,-71
54:8a:ba:dc:01:02,-75
54:8a:ba:dc:01:01,-75
00:f8:2c:19:9d:20,-62
1c:e6:c7:4b:b8:f2,-81
14:91:82:bb:4f:66,-91
