37
67
3
00:f8:2c:19:19:e0,-81
00:f8:2c:19:9f:20,-69
00:f8:2c:19:39:a2,-65
00:f8:2c:19:39:a0,-72
00:f8:2c:19:44:cd,-86
00:f8:2c:19:44:ce,-85
00:f8:2c:19:44:cc,-85
00:f8:2c:19:39:ac,-72
94:83:c4:06:d2:86,-88
00:f8:2c:19:39:ad,-69
00:f8:2c:19:39:ae,-72
00:f8:2c:19:8f:c3,-73
00:f8:2c:19:8f:c2,-73
00:f8:2c:19:8f:c1,-72
00:f8:2c:19:8f:c0,-73
00:f8:2c:19:9f:2e,-76
00:f8:2c:19:9f:2d,-78
00:f8:2c:19:9f:2c,-79
54:b8:0a:21:72:d0,-76
c0:25:e9:66:31:36,-81
80:02:9c:1a:f3:b3,-60
00:f8:2c:19:19:ed,-81
00:f8:2c:19:19:ee,-81
00:f8:2c:19:19:ec,-79
